dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EST,IS,OGS,0.0727666666666667,0.073762962962963,0.081162962962963,0.0741222222222222,0.0731555555555556,0.0695481481481482,0.0687333333333333,0.0643111111111111,0.0608740740740741,0.0594962962962963,0.0523444444444444,0.0523444444444444
FIN,IS,OGS,0.0852,0.0744,0.0704,0.0659,0.0605,0.0683,0.0704,0.0514,0.072,0.0718,0.0606,0.0606
FRA,IS,OGS,0,0,0,0,0,0,0,0,0,0,0,0
DEU,IS,OGS,0.5876,0.648,0.7208,0.5837,0.6348,0.6473,0.6985,0.5856,0.5105,0.5888,0.4672,0.4672
GRC,IS,OGS,0,0,0,0,0,0,0,0,0,0,0,0
HUN,IS,OGS,0.0795,0.0817,0.069,0.0476,0.0453,0.0521,0.0322,0.0416,0.0319,0.0314,0.0217,0.0217
NSI,IS,OGS,0,0,0,0,0,0,0,0,0,0,0,0
IND,IS,OGS,0.874,0.8738,1.0447,1.142,1.2884,1.3273,1.422,1.5217,1.6749,1.7914,1.6165,1.6165
IDN,IS,OGS,0,0,0,0,0,0,0,0,0,0,0,0
IRN,IS,OGS,0,0,0,0.043,0.0591,0.0696,0.0927,0.0807,0.0578,0.0603,0.0603,0.0603
IRL,IS,OGS,0,0,0,0,0,0,0,0,0,0,0,0
ISR,IS,OGS,0,0,0,0.01075,0.014775,0.0174,0.023175,0.020175,0.01445,0.015075,0.015075,0.015075
ITA,IS,OGS,0,0,0.1885,0.1548,0.136,0.1219,0.1076,0.1081,0.0941,0.073,0.0701,0.0701
JPN,IS,OGS,3.6915,3.5482,3.4794,3.4129,3.2714,3.0804,3.1559,3.1637,3.1444,3.0917,2.8074,2.8074
KOR,IS,OGS,0,0,0,0,0,0,0,0,0,0,0,0
