dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018
EGY,STE1AL,0,0,0,0,0,0,0,0,0
EST,STE1AL,0,0,0,0,0,0,0,0,0
FIN,STE1AL,0,0,0,0,0,0,0,0,0
FRA,STE1AL,0,0,0,0,0,0,0,0,0
DEU,STE1AL,0,0,0,0,0,0,0,0,0
GRC,STE1AL,0,0,0,0,0,0,0,0,0
HUN,STE1AL,0,0,0,0,0,0,0,0,0
NSI,STE1AL,0,0,0,0,0,0,0,0,0
IND,STE1AL,0,0,0,0,0,0,0,0,0
IDN,STE1AL,0,0,0,0,0,0,0,0,0
IRN,STE1AL,0,0,0,0,0,0,0,0,0
IRL,STE1AL,0,0,0,0,0,0,0,0,0
ISR,STE1AL,0,0,0,0,0,0,0,0,0
ITA,STE1AL,0,0,0,0,0,0,0,0,0
JPN,STE1AL,0,0,0,0,0,0,0,0,0
KOR,STE1AL,0,0,0,0,0,0,0,0,0
LVA,STE1AL,0,0,0,0,0,0,0,0,0
LTU,STE1AL,0,0,0,0,0,0,0,0,0
LUX,STE1AL,0,0,0,0,0,0,0,0,0
MLT,STE1AL,0,0,0,0,0,0,0,0,0
MEX,STE1AL,0,0,0,0,0,0,0,0,0
MAR,STE1AL,0,0,0,0,0,0,0,0,0
NLD,STE1AL,0,0,0,0,0,0,0,0,0
NGA,STE1AL,0,0,0,0,0,0,0,0,0
POL,STE1AL,0,0,0,0,0,0,0,0,0
PRT,STE1AL,0,0,0,0,0,0,0,0,0
ROU,STE1AL,0,0,0,0,0,0,0,0,0
RUS,STE1AL,0,0,0,0,0,0,0,0,0
SAU,STE1AL,0,0,0,0,0,0,0,0,0
SVK,STE1AL,0,0,0,0,0,0,0,0,0
SVN,STE1AL,0,0,0,0,0,0,0,0,0
ZAF,STE1AL,0,0,0,0,0,0,0,0,0
ESP,STE1AL,0,0,0,0,0,0,0,0,0
SWE,STE1AL,0,0,0,0,0,0,0,0,0
TUN,STE1AL,0,0,0,0,0,0,0,0,0
TUR,STE1AL,0,0,0,0,0,0,0,0,0
GBR,STE1AL,0,0,0,0,0,0,0,0,0
USA,STE1AL,0,0,0,0,0,0,0,0,0
RAS,STE1AR,0,0,0,0,0,0,0,0,0
RWO,STE1AR,0,0,0,0,0,0,0,0,0
REU,STE1AR,0,0,0,0,0,0,0,0,0
REP,STE1AR,0,0,0,0,0,0,0,0,0
RAF,STE1AR,0,0,0,0,0,0,0,0,0
RLA,STE1AR,0,0,0,0,0,0,0,0,0
ARG,STE1AR,0,0,0,0,0,0,0,0,0
OCE,STE1AR,0,0,0,0,0,0,0,0,0
AUT,STE1AR,0,0,0,0,0,0,0,0,0
BEL,STE1AR,0,0,0,0,0,0,0,0,0
BRA,STE1AR,0,0,0,0,0,0,0,0,0
BGR,STE1AR,0,0,0,0,0,0,0,0,0
CAN,STE1AR,0,0,0,0,0,0,0,0,0
CHA,STE1AR,0,0,0,0,0,0,0,0,0
HRV,STE1AR,0,0,0,0,0,0,0,0,0
CYP,STE1AR,0,0,0,0,0,0,0,0,0
CZE,STE1AR,0,0,0,0,0,0,0,0,0
DNK,STE1AR,0,0,0,0,0,0,0,0,0
EGY,STE1AR,0,0,0,0,0,0,0,0,0
EST,STE1AR,0,0,0,0,0,0,0,0,0
FIN,STE1AR,0,0,0,0,0,0,0,0,0
FRA,STE1AR,0,0,0,0,0,0,0,0,0
DEU,STE1AR,0,0,0,0,0,0,0,0,0
GRC,STE1AR,0,0,0,0,0,0,0,0,0
HUN,STE1AR,0,0,0,0,0,0,0,0,0
NSI,STE1AR,0,0,0,0,0,0,0,0,0
IND,STE1AR,0,0,0,0,0,0,0,0,0
IDN,STE1AR,0,0,0,0,0,0,0,0,0
IRN,STE1AR,0,0,0,0,0,0,0,0,0
IRL,STE1AR,0,0,0,0,0,0,0,0,0
ISR,STE1AR,0,0,0,0,0,0,0,0,0
ITA,STE1AR,0,0,0,0,0,0,0,0,0
JPN,STE1AR,0,0,0,0,0,0,0,0,0
KOR,STE1AR,0,0,0,0,0,0,0,0,0
LVA,STE1AR,0,0,0,0,0,0,0,0,0
LTU,STE1AR,0,0,0,0,0,0,0,0,0
LUX,STE1AR,0,0,0,0,0,0,0,0,0
MLT,STE1AR,0,0,0,0,0,0,0,0,0
MEX,STE1AR,0,0,0,0,0,0,0,0,0
MAR,STE1AR,0,0,0,0,0,0,0,0,0
NLD,STE1AR,0,0,0,0,0,0,0,0,0
NGA,STE1AR,0,0,0,0,0,0,0,0,0
POL,STE1AR,0,0,0,0,0,0,0,0,0
PRT,STE1AR,0,0,0,0,0,0,0,0,0
ROU,STE1AR,0,0,0,0,0,0,0,0,0
RUS,STE1AR,0,0,0,0,0,0,0,0,0
SAU,STE1AR,0,0,0,0,0,0,0,0,0
SVK,STE1AR,0,0,0,0,0,0,0,0,0
SVN,STE1AR,0,0,0,0,0,0,0,0,0
ZAF,STE1AR,0,0,0,0,0,0,0,0,0
ESP,STE1AR,0,0,0,0,0,0,0,0,0
SWE,STE1AR,0,0,0,0,0,0,0,0,0
TUN,STE1AR,0,0,0,0,0,0,0,0,0
TUR,STE1AR,0,0,0,0,0,0,0,0,0
GBR,STE1AR,0,0,0,0,0,0,0,0,0
USA,STE1AR,0,0,0,0,0,0,0,0,0
