dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RAS,BM,GSL,1277.8108498645,1338.78259132791,1438.983600271,1414.13617533875,1382.71259349593,1165.97088130081,999.893395121951,1037.7974102981,1095.87831680217,1068.91489701897,988.836312195121,1055.13626151761
RWO,BM,GSL,1409.8830568254,1527.11022428571,1577.57736111111,1530.3847515873,1498.17399492064,1354.97383761905,1264.81122095238,1365.96426968254,1475.72140936508,1435.99769936508,1337.82217190476,1446.25872111111
REU,BM,GSL,1764.84612244898,1861.49279795918,2009.37853571429,1869.26136836735,1793.24296428571,1654.17660816327,1539.81497142857,1590.15787346939,1625.47490612245,1616.78536836735,1455.39843571429,1548.18219489796
REP,BM,GSL,697.270565218992,732.0401708318,706.239750055208,684.279374622746,761.266271475892,679.547962679426,699.478794994479,702.555270666176,714.839726720648,694.872477953625,612.32321902834,744.120025322046
RAF,BM,GSL,1514.4868749851,1582.57739576899,1539.51883752855,1478.29290585837,1433.95542287488,1347.62294657274,1241.14790942403,1254.27589133193,1254.14643806356,1236.87610403923,1195.25860405412,1207.07690414846
RLA,BM,GSL,1399.44817544827,1512.12495393103,1579.52045710345,1533.03201434483,1474.11583703448,1260.12932834483,1171.22839324138,1213.90094710345,1311.52027496552,1319.21495034483,1272.96384986207,1325.93010951724
ARG,BM,GSL,887.5724,995.0659,1301.1584,1333.0418,1957.0339,1576.4512,1763.893,1705.2936,1899.3919,1902.9033,1759.6136,1805.4099
OCE,BM,GSL,1498.39181527778,1597.87610277778,1658.20376944444,1640.20194305556,1600.21317083333,1367.19713333333,1221.5915625,1277.14315138889,1346.76883055556,1308.13708611111,1191.4509875,1299.42206388889
AUT,BM,GSL,1839.6553,2035.4901,2119.1428,1994.5835,1902.4048,1679.0424,1539.8223,1598.9232,1684.1044,1622.5644,1399.4455,1614.0696
BEL,BM,GSL,2210.9957,2354.6245,2436.3289,2329.8737,2244.1718,1999.133,1833.5899,1912.6585,1945.0886,1911.1086,1737.2111,1863.0781
BRA,BM,GSL,1345.357,1342.3326,1276.1998,1253.4284,1228.794,1266.4864,1281.8654,1268.6812,1416.364,1374.754,1301.633,1619.2876
BGR,BM,GSL,1517.9466,1671.8336,1776.0517,1813.8236,1781.7973,1540.7617,1382.4102,1417.9777,1473.8637,1411.1854,1192.0754,1333.3519
CAN,BM,GSL,1231.7739,1416.147,1433.1035,1435.3537,1427.4337,1230.8775,1157.1856,1262.2853,1375.0253,1291.1005,1135.1327,1386.9106
CHA,BM,GSL,2135.1076,2287.44075,2267.73995,2145.2482,2043.96185,1838.2603,1680.50435,1767.55215,1899.9585,1842.64685,1698.5679,1739.1642
HRV,BM,GSL,1655.3523,1860.9981,1858.5765,1892.2108,1927.799,1759.6773,1655.8426,1736.5739,1820.0944,1785.5159,1625.3998,1625.3998
CYP,BM,GSL,1479.0627,1674.349,1776.8152,1859.883,1924.6626,1719.9666,1631.4144,1707.4521,1780.6689,1641.716,1513.4839,1698.8014
CZE,BM,GSL,1754.3948,1869.5372,1919.5642,1865.635,1856.6186,1606.2108,1455.1221,1505.5447,1558.7573,1481.746,1291.1608,1447.6138
DNK,BM,GSL,2154.4544,2327.5439,2406.7774,2391.7666,2274.8262,2075.6832,1951.4761,2060.0044,2166.1366,2161.386,1962.8587,2198.6509
EGY,BM,GSL,697.8609,646.1378,597.803,551.0539,1133.8638,1043.4261,581.1739,707.906,747.3268,793.6649,733.9609,736.3016
EST,BM,GSL,1404.0746,1494.1269,1578.5192,1480.9261,1432.5676,1252.1216,1202.7854,1299.5398,1409.823,1390.8789,1300.6582,1435.884
FIN,BM,GSL,2174.1932,2296.779,2377.122,2299.371,2232.6499,2036.2839,1908.3991,2020.5458,2061.0192,2067.5508,1914.1453,2228.7089
FRA,BM,GSL,1984.2849,2168.4457,2221.8989,2162.0979,2079.1313,1896.7306,1816.2043,1900.1721,2044.4524,2018.9869,1811.2881,2040.0324
DEU,BM,GSL,2123.8664,2290.875,2377.1112,2266.4021,2159.1913,1958.8525,1812.6967,1881.4456,1972.5555,1909.8602,1714.7638,2010.1616
GRC,BM,GSL,2000.0874,2253.1447,2325.4433,2272.9213,2241.1023,2043.4935,1949.9844,2091.0388,2189.4735,2181.1448,2020.9212,2270.5438
HUN,BM,GSL,1699.4469,1851.1685,1952.2517,1877.6341,1833.0727,1614.7159,1498.3886,1555.5296,1632.3064,1579.5439,1444.1174,1689.1507
NSI,BM,GSL,2166.14000357143,2285.73461785714,2417.074675,2289.92981428571,2184.39265,1993.51487857143,1895.549625,1960.30015714286,2002.90549642857,1979.20936428571,1844.44945,1988.40900714286
IND,BM,GSL,1505.2511,1692.3564,1671.3982,1511.2005,1446.5227,1309.1179,1140.4723,1143.622,1315.8786,1225.8897,1200.1647,1436.4748
IDN,BM,GSL,560.3567,531.8695,510.0422,592.1496,674.9872,679.0343,598.1587,566.5148,548.9573,532.81,522.7678,514.7372
IRN,BM,GSL,156.3611,470.4697,583.7384,427.3246,366.467,434.3905,445.5477,412.3726,381.162,226.6873,240.3437,171.9455
IRL,BM,GSL,1905.0673,2115.9974,2270.5931,2221.7343,2128.4836,1910.2306,1789.611,1903.2064,1995.8832,1930.2609,1772.0256,2024.0992
ISR,BM,GSL,2284.3903,2546.7345,2604.4434,2467.179,2396.7057,2065.3509,1886.7889,1976.4906,2144.068,2056.0647,1842.0728,2033.7877
ITA,BM,GSL,2050.9551,2274.9379,2535.9299,2452.1192,2395.5898,2150.8998,2021.0594,2113.3254,2186.6439,2139.2242,1947.3679,2171.4826
JPN,BM,GSL,1433.6759,1576.6065,1589.3713,1681.9884,1709.7328,1432.8618,1257.2085,1384.98,1538.0911,1493.0827,1392.7161,1587.1607
KOR,BM,GSL,1288.26090555556,1349.37808055556,1444.67223888889,1422.42046111111,1391.62066666667,1175.62434166667,1012.52615,1050.00220277778,1105.58351111111,1076.84262222222,995.6474,1062.83287777778
LVA,BM,GSL,1649.0339,1850.8717,1968.1785,1898.282,1801.8254,1573.8986,1496.2808,1562.8953,1677.4177,1620.609,1467.463,1658.72
LTU,BM,GSL,1769.2869,1911.4253,1976.4567,1905.3261,1822.9621,1612.6846,1473.4874,1513.1244,1576.8028,1525.894,1379.0374,1532.7456
LUX,BM,GSL,1775.9467,1901.9569,1987.8315,1887.498,1812.4822,1641.7055,1524.0039,1591.2766,1644.2735,1691.0666,1414.7602,1704.6473
