dummy,dummy,dummy,2015,2016,2017,2018
PRT,PC,NGS,0.00237070975203475,0.00250162673323906,0.0026272288106526,0.00312330865697198
ROU,PC,NGS,0,0,0,0
RUS,PC,NGS,0.0696668086807566,0.0640363523452474,0.0640872403171109,0.068514484160599
SAU,PC,NGS,0.0357824270055951,0.0359071478946105,0.0368874370458858,0.0385943776527635
SVK,PC,NGS,0.00103206248549996,0.000986905925837606,0.00101890425557682,0.00092476033373975
SVN,PC,NGS,5.67732203318017e-05,7.55056147059175e-05,8.55127131137184e-05,7.57350888568948e-05
ZAF,PC,NGS,0.0357824270055951,0.0359071478946105,0.0368874370458858,0.0385943776527635
ESP,PC,NGS,0.0285758621922089,0.0290746922624223,0.0269006903830095,0.0271178875279654
SWE,PC,NGS,0.00705539815993157,0.00732006106870229,0.00378335119096678,0.00224749417479562
TUN,PC,NGS,0.0357824270055951,0.0359071478946105,0.0368874370458858,0.0385943776527635
TUR,PC,NGS,0.0192698971858889,0.0170858098771675,0.0183452376541131,0.0207796630151791
GBR,PC,NGS,0,0,0,0.00165592846845097
USA,PC,NGS,0.0357824270055951,0.0359071478946105,0.0368874370458858,0.0385943776527635
RAS,PC,ETH,1.49431851851852,1.70165925925926,1.83744444444444,2.03865185185185
RWO,PC,ETH,0.2457,0.2688,0.3255,0.2604
REU,PC,ETH,0.1396,0.16275,0.19265,0.16765
REP,PC,ETH,0.52826,0.487111428571429,0.49554,0.547868571428571
RAF,PC,ETH,0.3185,0.298083333333333,0.23275,0.35525
RLA,PC,ETH,9.62147999999999,8.87110571428571,8.87642,10.0759342857143
ARG,PC,ETH,0.4071,0.4615,0.5455,0.5389
OCE,PC,ETH,0.225055555555556,0.227677777777778,0.218633333333333,0.254855555555556
AUT,PC,ETH,0.0598,0.0571,0.056,0.0576
BEL,PC,ETH,0.0406,0.0431,0.0967,0.1134
BRA,PC,ETH,16.1089,14.4491,14.3772,16.4506
BGR,PC,ETH,0.0322,0.0329,0.0266,0.0286
CAN,PC,ETH,1.4242,1.4153,1.581,1.5695
CHA,PC,ETH,2.984,3.2018,3.3288,3.3288
HRV,PC,ETH,0,0,3e-04,4e-04
CYP,PC,ETH,0,0,0,0
CZE,PC,ETH,0.083809375,0.082521875,0.086109375,0.0921125
DNK,PC,ETH,0.044,0.0439,0.0436,0.0429
EGY,PC,ETH,0,0,0,0
EST,PC,ETH,0.0026,0.002,0.001,0.0049
FIN,PC,ETH,0.0676,0.0698,0.0827,0.0864
FRA,PC,ETH,0.432,0.4762,0.538,0.586
DEU,PC,ETH,0.7442,0.7449,0.7334,0.7499
GRC,PC,ETH,0,0,0,0
HUN,PC,ETH,0.0426,0.0438,0.0451,0.0508
NSI,PC,ETH,0.02906,0.05471,0.06293,0.07071
IND,PC,ETH,0.5646,0.3431,0.7625,0.9659
IDN,PC,ETH,0,0,0,0
IRN,PC,ETH,0,0,0,0
IRL,PC,ETH,0.0241,0.0268,0.0296,0.0273
ISR,PC,ETH,0,0,0,0
ITA,PC,ETH,0.0248,0.0325,0.0331,0.0326
JPN,PC,ETH,0.3309,0.3751,0.4084,0.4178
KOR,PC,ETH,0,0,0,0
LVA,PC,ETH,0.0077,0.0083,0.0079,0.0085
LTU,PC,ETH,0.0097,0.0064,0.0083,0.008
LUX,PC,ETH,0.0073,0.009,0.0068,0.0101
MLT,PC,ETH,0.083809375,0.082521875,0.086109375,0.0921125
MEX,PC,ETH,0,0,0,0
MAR,PC,ETH,0,0,0,0
NLD,PC,ETH,0.1419,0.1206,0.1289,0.1769
NGA,PC,ETH,0.0065,0.00608333333333333,0.00475,0.00725
POL,PC,ETH,0.1535,0.1677,0.1762,0.1728
PRT,PC,ETH,0.0213,0.0252,0.0029,0.0056
ROU,PC,ETH,0.0615,0.0813,0.0911,0.0904
RUS,PC,ETH,0.0351,0.0384,0.0465,0.0372
SAU,PC,ETH,0,0,0,0
SVK,PC,ETH,0.0229,0.0155,0.0196,0.0176
SVN,PC,ETH,0.0059,0.0039,0.0035,0.0068
ZAF,PC,ETH,0.0065,0.00608333333333333,0.00475,0.00725
ESP,PC,ETH,0.1907,0.1349,0.1387,0.1546
SWE,PC,ETH,0.1401,0.1086,0.1024,0.1285
TUN,PC,ETH,0,0,0,0
TUR,PC,ETH,0.0464,0.0499,0.054,0.0526
GBR,PC,ETH,0.4049,0.3863,0.3831,0.387
USA,PC,ETH,30.3801,31.2342,32.5052,32.3965
RAS,PC,BGDO,3.1396037037037,4.2944962962963,4.33623703703704,5.35645555555555
RWO,PC,BGDO,0.0078,0.0078,0.0078,0.0051
REU,PC,BGDO,0.10135,0.2087,0.2618,0.285575
REP,PC,BGDO,0.148057142857143,0.150510714285714,0.162617857142857,0.187575
RAF,PC,BGDO,0,0,0,0
RLA,PC,BGDO,4.40492857142857,4.50746785714286,4.75124642857143,5.452525
ARG,PC,BGDO,0.8649,0.9221,1.0445,0.979
OCE,PC,BGDO,0.387211111111111,0.493488888888889,0.436611111111111,0.566566666666667
AUT,PC,BGDO,0.6059,0.4965,0.4339,0.4473
BEL,PC,BGDO,0.2216,0.399,0.3844,0.3665
BRA,PC,BGDO,2.5083,2.4786,2.7541,3.4649
BGR,PC,BGDO,0.114,0.1302,0.1396,0.135
CAN,PC,BGDO,0.429,0.4527,0.5599,0.5845
CHA,PC,BGDO,1.417,1.4134,1.0674,1.299
HRV,PC,BGDO,0.0243,9e-04,3e-04,0.0266
CYP,PC,BGDO,0.0097,0.0089,0.0099,0.009
CZE,PC,BGDO,0.336087878787879,0.329566666666667,0.361812121212121,0.409854545454545
DNK,PC,BGDO,0.1706,0.1735,0.1718,0.171
EGY,PC,BGDO,0,0,0,0
EST,PC,BGDO,0,0,0.0015,0.0122
FIN,PC,BGDO,0.4303,0.1089,0.3101,0.2815
FRA,PC,BGDO,2.5652,2.5532,2.6618,2.6345
