dummy,dummy,2015,2016,2017,2018,2019,2020,2021
CHN,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CHN,KM_VEH_TRUCK,  48211.500,  48211.500,  48913.000,  48525.000,  49004.000,  47675.000,  48061.000
CIV,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
CIV,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CIV,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
CMR,KM_VEH,    150.000,    150.000,    168.000,    168.000,    168.000,    168.000,    168.000
CMR,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CMR,KM_VEH_TRUCK,    451.000,    451.000,    460.000,    460.000,    460.000,    460.000,    460.000
COD,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
COD,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
COD,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
COG,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
COG,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
COG,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
COK,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
COK,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
COK,KM_VEH_TRUCK, 328812.000, 328812.000, 338753.000, 342556.000, 354400.000, 351000.000, 368562.000
COL,KM_VEH,  19516.000,  19516.000,  15477.000,  12130.000,  12130.000,  12130.000,  12130.000
COL,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
COL,KM_VEH_TRUCK,  71603.000,  71603.000,  59905.000,  39026.000,  39026.000,  39026.000,  39026.000
COM,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
COM,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
COM,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
CPV,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
CPV,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CPV,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
CRI,KM_VEH,  10128.000,  10128.000,  10488.000,  10832.000,  10992.000,  11111.000,  11482.000
CRI,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CRI,KM_VEH_TRUCK,  14232.000,  14232.000,  14938.000,  15532.000,  15860.000,  15687.000,  16461.000
CUB,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
CUB,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CUB,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
CUW,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
CUW,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
